Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
1980-01-01,-12.7,-20.1,-16.670833333333334,66.875,59.958333333333336,0.1,7.4,325.2083333333333,3
1980-01-02,-17.1,-20.2,-18.383333333333333,74.0,94.0,2.0,9.2,309.9583333333333,71
1980-01-03,-15.8,-20.4,-18.3875,76.5,64.45833333333333,2.0,8.4,305.25,71
1980-01-04,-6.8,-14.7,-9.887500000000001,87.08333333333333,98.75,3.9,9.2,295.125,3
1980-01-05,-8.8,-13.9,-11.091666666666667,90.16666666666667,99.0,6.2,8.9,291.2083333333333,73
1980-01-06,-11.8,-13.7,-12.854166666666666,88.41666666666667,96.33333333333333,1.0,8.0,299.3333333333333,71
1980-01-07,-12.4,-16.4,-13.933333333333332,86.83333333333333,96.0,0.9,6.6,282.0833333333333,71
1980-01-08,-10.3,-21.4,-16.595833333333335,66.29166666666667,82.0,0.0,1.8,121.45833333333333,3
1980-01-09,-10.9,-16.3,-13.970833333333333,71.91666666666667,76.45833333333333,1.3,5.0,262.5416666666667,71
1980-01-10,-8.7,-15.0,-11.741666666666667,88.75,98.875,0.0,5.4,296.7916666666667,3
1980-01-11,-11.1,-16.4,-12.833333333333334,85.70833333333333,87.16666666666667,0.4,5.6,166.95833333333334,71
1980-01-12,-15.2,-20.1,-17.337500000000002,82.375,81.25,2.2,9.6,109.41666666666667,3
1980-01-13,-10.2,-16.3,-13.525,86.0,94.91666666666667,1.6,10.0,109.29166666666667,71
1980-01-14,-9.6,-16.0,-12.345833333333333,83.25,84.375,0.2,8.2,106.95833333333333,3
1980-01-15,-9.8,-14.0,-11.9375,88.91666666666667,100.0,12.5,10.0,105.83333333333333,73
1980-01-16,-7.2,-13.3,-10.004166666666666,89.0,94.5,1.8,7.8,102.75,3
1980-01-17,-9.2,-15.5,-12.470833333333333,86.5,94.33333333333333,0.0,7.6,107.16666666666667,3
1980-01-18,-10.9,-15.2,-12.595833333333333,87.91666666666667,99.70833333333333,1.1,9.4,111.58333333333333,71
1980-01-19,-9.5,-12.6,-11.2125,88.625,96.875,0.2,9.2,114.45833333333333,3
1980-01-20,-8.1,-17.1,-12.654166666666667,82.54166666666667,94.91666666666667,0.6000000000000001,3.7,167.125,3
1980-01-21,-8.6,-15.8,-12.441666666666668,80.79166666666667,92.375,2.0999999999999996,4.2,182.29166666666666,3
1980-01-22,-7.1,-11.6,-9.424999999999999,89.0,100.0,14.2,4.5,165.5,73
