Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
1980-01-01,0.7,-10.1,-5.783333333333334,60.208333333333336,35.458333333333336,0.0,11.4,284.7916666666667,0
1980-01-02,-2.6,-11.2,-7.608333333333333,61.458333333333336,34.291666666666664,0.0,11.7,287.6666666666667,0
1980-01-03,-0.8,-13.0,-6.679166666666667,57.208333333333336,13.083333333333334,0.0,11.0,285.5833333333333,0
1980-01-04,1.7,-9.3,-3.5875,70.375,40.875,0.0,7.0,286.75,1
1980-01-05,1.4,-7.2,-2.2416666666666667,80.45833333333333,81.95833333333333,1.2000000000000002,7.5,291.5,3
1980-01-06,4.4,-7.6,-2.5458333333333334,70.79166666666667,17.291666666666668,0.0,11.4,282.8333333333333,0
1980-01-07,3.7,-6.9,-2.6791666666666667,67.95833333333333,24.0,0.0,10.0,283.7083333333333,1
1980-01-08,2.4,-9.7,-4.354166666666667,69.04166666666667,65.875,0.0,9.9,259.2916666666667,2
1980-01-09,0.5,-5.0,-2.3874999999999997,78.70833333333333,67.20833333333333,0.1,2.8,266.5833333333333,2
1980-01-10,1.1,-4.2,-1.2166666666666666,83.875,86.08333333333333,0.0,3.4,271.75,3
1980-01-11,-0.9,-3.3,-2.029166666666667,91.29166666666667,87.58333333333333,4.6,4.0,231.375,71
1980-01-12,-0.8,-6.1,-3.483333333333333,83.625,85.54166666666667,4.7,4.7,259.5416666666667,73
1980-01-13,1.8,-4.1,-1.575,82.16666666666667,96.125,5.5,4.7,303.2916666666667,71
1980-01-14,0.0,-2.9,-1.2833333333333334,79.33333333333333,88.5,1.0,4.3,264.2916666666667,71
1980-01-15,1.6,-2.9,-0.6458333333333334,90.75,99.95833333333333,30.099999999999998,7.3,308.5833333333333,73
1980-01-16,3.7,-1.0,2.1166666666666667,91.20833333333333,87.70833333333333,6.7,5.5,254.08333333333334,71
1980-01-17,2.6,-1.6,0.21666666666666667,90.16666666666667,87.66666666666667,3.5,6.2,249.29166666666666,71
1980-01-18,1.0,-1.4,-0.016666666666666666,92.91666666666667,99.66666666666667,9.0,4.7,269.25,73
1980-01-19,3.0,-2.3,0.3333333333333333,86.45833333333333,85.70833333333333,2.0,5.6,281.0833333333333,71
1980-01-20,3.9,-3.8,-0.3583333333333332,81.0,68.45833333333333,0.0,8.0,268.875,2
1980-01-21,3.5,-5.4,-0.9708333333333333,80.5,68.0,0.6000000000000001,7.6,272.875,1
1980-01-22,3.0,0.1,1.2791666666666666,90.875,99.79166666666667,6.5,2.9,229.58333333333334,71
1980-01-23,5.4,-0.7,2.0749999999999997,75.91666666666667,60.458333333333336,3.7,7.7,273.25,71
1980-01-24,8.6,2.7,5.370833333333334,75.41666666666667,59.208333333333336,2.5,8.7,267.6666666666667,1
1980-01-25,10.4,-2.6,5.220833333333333,72.54166666666667,17.041666666666668,0.2,9.3,282.5,0
1980-01-26,5.3,-2.6,2.0124999999999997,80.45833333333333,83.625,1.9,4.8,248.20833333333334,3
1980-01-27,5.0,-4.4,0.30000000000000004,64.45833333333333,40.166666666666664,2.1,9.3,275.0833333333333,0
1980-01-28,3.6,-5.6,-1.7125000000000001,56.833333333333336,47.083333333333336,0.0,4.4,252.29166666666666,2
1980-01-29,5.5,-6.9,-1.6375,69.29166666666667,34.458333333333336,0.0,5.2,280.25,1
1980-01-30,5.2,-7.0,-1.3416666666666668,71.91666666666667,68.75,0.0,3.9,272.5,3
